age,status,age_freq
18,refund,379
18,canceled,4097
18,order_refunded,1211
19,refund,84
19,order_refunded,697
19,canceled,11826
20,refund,115
20,order_refunded,428
20,canceled,4093
21,order_refunded,715
21,canceled,4902
21,refund,157
22,order_refunded,757
22,canceled,3069
22,refund,603
23,refund,108
23,canceled,2760
23,order_refunded,535
24,order_refunded,785
24,refund,181
24,canceled,5572
25,canceled,4853
25,order_refunded,697
25,refund,512
26,refund,264
26,canceled,3081
26,order_refunded,753
27,canceled,4796
27,order_refunded,634
27,refund,117
28,refund,302
28,canceled,3869
28,order_refunded,808
29,refund,338
29,order_refunded,605
29,canceled,3783
30,refund,176
30,canceled,3364
30,order_refunded,711
31,order_refunded,730
31,refund,136
31,canceled,4385
32,order_refunded,922
32,refund,182
32,canceled,6274
33,canceled,3937
33,refund,161
33,order_refunded,611
34,refund,142
34,canceled,4488
34,order_refunded,559
35,order_refunded,816
35,refund,320
35,canceled,4797
36,order_refunded,835
36,refund,891
36,canceled,4339
37,canceled,2915
37,refund,178
37,order_refunded,658
38,refund,309
38,order_refunded,721
38,canceled,3522
39,refund,676
39,order_refunded,867
39,canceled,5674
40,canceled,4547
40,refund,175
40,order_refunded,639
41,refund,462
41,order_refunded,646
41,canceled,3002
42,canceled,5059
42,refund,123
42,order_refunded,504
43,canceled,3590
43,refund,281
43,order_refunded,606
44,refund,170
44,canceled,3403
44,order_refunded,472
45,canceled,4580
45,refund,205
45,order_refunded,786
46,canceled,3061
46,refund,211
46,order_refunded,835
47,refund,294
47,order_refunded,854
47,canceled,3898
48,refund,126
48,canceled,4170
48,order_refunded,489
49,refund,172
49,order_refunded,661
49,canceled,4977
50,order_refunded,1604
50,canceled,6247
50,refund,810
51,canceled,6726
51,order_refunded,1306
51,refund,328
52,canceled,5720
52,refund,342
52,order_refunded,3151
53,refund,265
53,canceled,4530
53,order_refunded,624
54,canceled,3964
54,order_refunded,648
54,refund,531
55,canceled,3723
55,refund,230
55,order_refunded,797
56,canceled,4532
56,refund,233
56,order_refunded,672
57,order_refunded,805
57,refund,207
57,canceled,3286
58,canceled,3595
58,refund,252
58,order_refunded,856
59,order_refunded,764
59,canceled,4353
59,refund,423
60,refund,302
60,order_refunded,780
60,canceled,4521
61,refund,904
61,canceled,3325
61,order_refunded,819
62,refund,413
62,canceled,3474
62,order_refunded,880
63,refund,569
63,order_refunded,830
63,canceled,5092
64,canceled,5757
64,order_refunded,755
64,refund,284
65,order_refunded,568
65,canceled,5006
65,refund,636
66,order_refunded,686
66,refund,133
66,canceled,4239
67,order_refunded,684
67,refund,374
67,canceled,4805
68,canceled,3758
68,order_refunded,664
68,refund,363
69,order_refunded,854
69,canceled,5103
69,refund,368
70,canceled,3868
70,order_refunded,663
70,refund,375
71,refund,521
71,order_refunded,785
71,canceled,3864
72,canceled,3135
72,refund,323
72,order_refunded,867
73,order_refunded,692
73,canceled,5856
73,refund,199
74,refund,231
74,canceled,3359
74,order_refunded,786
75,refund,212
75,order_refunded,694
75,canceled,3839
