Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16201,AKB1/48: Idol to Guam de Koishitara...,X360,N/A,Misc,N/A,0,0,0.01,0,0.01
15879,Dinotopia: The Sunstone Odyssey,GC,2003,Action,TDK Mediactive,0.01,0,0,0,0.02
5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2006,Action,Namco Bandai Games,0.15,0.05,0.14,0.01,0.35
12017,Drake of the 99 Dragons,XB,2003,Shooter,Majesco Entertainment,0.05,0.01,0,0,0.07
15918,Dream Dancer,DS,2009,Misc,Zoo Games,0.01,0,0,0,0.02
12931,Drill Dozer,GBA,2005,Platform,Nintendo,0.04,0.01,0,0,0.05
5620,Final Fantasy XI,PS2,2002,Role-Playing,Square Enix,0.08,0.06,0.15,0.02,0.32
12668,Flip's Twisted World,Wii,2010,Platform,Majesco Entertainment,0.05,0,0,0,0.06
16310,Freaky Flyers,GC,2003,Racing,Midway Games,0.01,0,0,0,0.01
14380,Fullmetal Alchemist: Brotherhood,PSP,2010,Action,Namco Bandai Games,0,0,0.03,0,0.03
10274,GiFTPiA,GC,2003,Role-Playing,Nintendo,0,0,0.11,0,0.11
9822,Godzilla: Destroy All Monsters Melee,XB,2002,Fighting,Infogrames,0.09,0.03,0,0,0.12
16369,Hakuouki: Shinsengumi Kitan,PS3,2014,Adventure,Aksys Games,0.01,0,0,0,0.01
4867,Harvest Moon: Save the Homeland,PS2,N/A,Simulation,Unknown,0.19,0.15,0,0.05,0.4
5915,Harvest Moon: The Tale of Two Towns,3DS,N/A,Simulation,Unknown,0.28,0,0,0.02,0.3
16194,Homeworld Remastered Collection,PC,N/A,Strategy,N/A,0,0.01,0,0,0.01
14089,Housekeeping,DS,N/A,Action,N/A,0,0,0.04,0,0.04
6970,Jet X20,PS2,N/A,Racing,Unknown,0.11,0.09,0,0.03,0.23
4153,Karate,2600,N/A,Fighting,Ultravision,0.44,0.03,0,0,0.47
14852,Legacy of Ys: Books I & II,DS,N/A,Role-Playing,Unknown,0.02,0,0,0,0.03
10760,Luminous Arc 2 (JP sales),DS,N/A,Role-Playing,Unknown,0,0,0.1,0,0.1
14315,Majesty 2: The Fantasy Kingdom Sim,X360,N/A,Simulation,Unknown,0.03,0,0,0,0.03
15264,Mario Tennis,3DS,N/A,Sports,N/A,0,0,0.02,0,0.02
